Park Name,Address,City,State,Latitude,Longitude,County,Postal Code,Country
Edward Klief Park,1200 Milton St.,Madison,WI,43.066245,-89.405684,Dane County,53715,US
Hoyt Park,3902 Regent St.,Madison,WI,43.068434,-89.440669,Dane County,53705,US
Reynolds Park,810 E. Mifflin St.,Madison,WI,43.08213,-89.376254,Dane County,53703,US
Lucia Crest Park,514 N. Owen Dr.,Madison,WI,43.072576,-89.44821,Dane County,53705,US
Vilas (Henry) Park,1602 Vilas Park Dr.,Madison,WI,43.063273,-89.4124,Dane County,53711,US
Brittingham Park,829 W. Washington Ave.,Madison,WI,43.063451,-89.399882,Dane County,53715,US
Tenney Park,1414 E. Johnson St.,Madison,WI,43.091013,-89.367227,Dane County,53703,US
McPike Park,202 S. Ingersoll St.,Madison,WI,43.082832,-89.367612,Dane County,53703,US
Burrows Park,25 Burrows Rd.,Madison,WI,43.102283,-89.366928,Dane County,53704,US
Wingra Park and Boat Livery,824 Knickerbocker St.,Madison,WI,43.056242,-89.427861,Dane County,53711,US
Burr Jones Park,1820 E. Washington Ave.,Madison,WI,43.091398,-89.362232,Dane County,53704,US
Orton Park,1103 Spaight St.,Madison,WI,43.080999,-89.36308,Dane County,53703,US
Rennebohm Park,115 N. Eau Claire Ave.,Madison,WI,43.070738,-89.462589,Dane County,53705,US
Dudgeon School Park,3200 Monroe St.,Madison,WI,43.054332,-89.432949,Dane County,53711,US
Westmorland Park,4114 Tokay Blvd.,Madison,WI,43.054731,-89.444598,Dane County,53711,US
Demetral Park,601 N. Sixth St.,Madison,WI,43.103737,-89.354906,Dane County,53704,US
Brentwood Park,1402 Mac Pherson St.,Madison,WI,43.119456,-89.367647,Dane County,53704,US
Lerdahl Park,3514 Little Fleur Ln.,Madison,WI,43.13209,-89.38872,Dane County,53704,US
Goodman Park,1402 Wingra Creek Pkwy.,Madison,WI,43.051635,-89.385664,Dane County,53715,US
Meadow Ridge Park,4002 Meadow Valley Dr.,Madison,WI,43.138132,-89.404966,Dane County,53704,US
Yahara Place Park,2025 Yahara Pl.,Madison,WI,43.088281,-89.350543,Dane County,53704,US
Olin Park,1156 Olin-Turville Ct.,Madison,WI,43.053653,-89.375665,Dane County,53713,US
Quann Park,1802 Quann-Olin Pkwy.,Madison,WI,43.051827,-89.38357,Dane County,53713,US
Warner Park,2930 N. Sherman Ave.,Madison,WI,43.12957,-89.370148,Dane County,53704,US
Eken Park,2407 Coolidge St.,Madison,WI,43.108831,-89.352132,Dane County,53704,US
Bordner Park,5610 Elder Pl.,Madison,WI,43.072389,-89.478768,Dane County,53705,US
Oak Park Heights Park,641 Hilltop Dr.,Madison,WI,43.050866,-89.458156,Dane County,53711,US
Penn Park,2101 Fisher St.,Madison,WI,43.04251,-89.390942,Dane County,53713,US
Garner Park,333 S. Rosa Rd.,Madison,WI,43.062441,-89.47634,Dane County,53705,US
Windom Way Park,1920 Windom Way,Madison,WI,43.126702,-89.359533,Dane County,53704,US
Berkley Park,1730 Browning Rd.,Madison,WI,43.131575,-89.360991,Dane County,53704,US
Wheeler Heights Park,4410 Northview Dr.,Madison,WI,43.141748,-89.376111,Dane County,53704,US
Worthington Park,3102 Worthington Ave.,Madison,WI,43.103385,-89.337004,Dane County,53714,US
Zook Park,950 Pontiac Trl.,Madison,WI,43.042066,-89.457105,Dane County,53711,US
Lake View Heights Park,1621 Sunfield St.,Madison,WI,43.138712,-89.366959,Dane County,53704,US
Odana Hills Park,5201 Milward Dr.,Madison,WI,43.04685,-89.468799,Dane County,53711,US
Northland Manor Park,902 Northland Dr.,Madison,WI,43.146252,-89.382643,Dane County,53704,US
Carpenter - Ridgeway Park,1220 Carpenter St.,Madison,WI,43.113488,-89.336901,Dane County,53704,US
Badger Park,418 Burdette Ct.,Madison,WI,43.03691,-89.378019,Dane County,53713,US
Sherman Village Park,1226 Delaware Blvd.,Madison,WI,43.145893,-89.374327,Dane County,53704,US
Olbrich Park,3527 Atwood Ave.,Madison,WI,43.087838,-89.330384,Dane County,53714,US
Aldo Leopold Park,2906 Traceway Dr.,Madison,WI,43.030136,-89.419456,Dane County,53713,US
O.B. Sherry Park,22 Leon St.,Madison,WI,43.097657,-89.330254,Dane County,53714,US
Woodland Hills Park,834 Pebble Beach Dr.,Madison,WI,43.080297,-89.498706,Dane County,53717,US
Waunona Park,5323 Raywood Rd.,Madison,WI,43.048216,-89.352794,Dane County,53713,US
Britta Park,4300 Britta Pkwy.,Madison,WI,43.034123,-89.448588,Dane County,53711,US
Thut Park,2630 Nana Ln.,Madison,WI,43.044855,-89.356921,Dane County,53713,US
De Volis Park,4300 De Volis Pkwy.,Madison,WI,43.033412,-89.45141,Dane County,53711,US
Everglade Park,406 Everglade Dr.,Madison,WI,43.073341,-89.499881,Dane County,53705,US
Whitetail Ridge Park,1818 Anhalt Dr.,Madison,WI,43.142991,-89.359839,Dane County,53704,US
Marlborough Park,2222 Whenona Dr.,Madison,WI,43.030721,-89.449268,Dane County,53711,US
Flad Park,4937 Flad Ave.,Madison,WI,43.03452,-89.462867,Dane County,53711,US
Baxter Park,777 Englehart Dr.,Madison,WI,43.030512,-89.373016,Dane County,53713,US
Ontario Park,720 Ontario St.,Madison,WI,43.087811,-89.319312,Dane County,53714,US
Cherokee Park,1000 Burning Wood Way,Madison,WI,43.155596,-89.3778,Dane County,53704,US
Wexford Park,1201 N. Westfield Rd.,Madison,WI,43.082002,-89.509031,Dane County,53717,US
Eastmorland Park,99 Silver Rd.,Madison,WI,43.094794,-89.318121,Dane County,53714,US
Brigham Park,911 Rosedale Ave.,Madison,WI,43.11183,-89.321147,Dane County,53714,US
Lake Edge Park,511 Park Ct.,Madison,WI,43.0825,-89.31871,Dane County,53716,US
Walnut Grove Park,202 N. Westfield Rd.,Madison,WI,43.06944,-89.511846,Dane County,53717,US
Portland Park,4210 Portland Pkwy.,Madison,WI,43.097591,-89.311558,Dane County,53714,US
Reindahl (Amund) Park,1818 Portage Rd.,Madison,WI,43.123726,-89.314639,Dane County,53704,US
Mayfair Park,1102 Mendota St.,Madison,WI,43.114398,-89.314942,Dane County,53714,US
Hiestand Park,4302 Milwaukee St.,Madison,WI,43.100137,-89.307018,Dane County,53714,US
Meadowood Park,5800 Thrush Lane,Madison,WI,43.029931,-89.480196,Dane County,53711,US
Kingston Onyx Park,334 Garnet Ln.,Madison,WI,43.092688,-89.306055,Dane County,53714,US
Sauk Creek Park,402 N. High Point Rd.,Madison,WI,43.071175,-89.521284,Dane County,53717,US
McGinnis Park,9 Crystal Ln.,Madison,WI,43.097799,-89.303172,Dane County,53714,US
Acewood Park,1402 Acewood Blvd.,Madison,WI,43.077735,-89.303375,Dane County,53716,US
High Point Park,7499 Watts Rd.,Madison,WI,43.050835,-89.513759,Dane County,53719,US
Elver Park,1250 McKenna Blvd.,Madison,WI,43.037879,-89.503722,Dane County,53719,US
Honeysuckle Park,280 N. Thompson Dr.,Madison,WI,43.101797,-89.298812,Dane County,53714,US
Sycamore Park,830 Jana Lane,Madison,WI,43.111551,-89.300279,Dane County,53704,US
Westchester Gardens Park,3330 Basil Dr.,Madison,WI,43.140772,-89.317097,Dane County,53704,US
Sandburg Park,2818 Independence Ln.,Madison,WI,43.134206,-89.310222,Dane County,53704,US
Heritage Heights Park,701 Meadowlark Dr.,Madison,WI,43.088133,-89.29572,Dane County,53714,US
Junction Ridge Park,8502 Elderberry Rd.,Madison,WI,43.069377,-89.531315,Dane County,53717,US
Kennedy Park,5202 Retana Dr.,Madison,WI,43.093199,-89.293035,Dane County,53714,US
Elvehjem Park,1202 Painted Post Dr.,Madison,WI,43.081051,-89.293459,Dane County,53716,US
Valley Ridge Park,1281 Meadow Sweet Dr.,Madison,WI,43.038652,-89.515093,Dane County,53719,US
Waltham Park,2617 Waltham Rd.,Madison,WI,43.024825,-89.501784,Dane County,53711,US
Glacier Hill Park,1018 Glacier Hill Dr.,Madison,WI,43.113224,-89.291583,Dane County,53704,US
Maple Prairie Park,3117 Prairie Rd.,Madison,WI,43.01809,-89.493096,Dane County,53719,US
Churchill Heights Park,4202 Portage Road,Madison,WI,43.142067,-89.307696,Dane County,53704,US
Droster Park,5629 Kalas St.,Madison,WI,43.078993,-89.284658,Dane County,53716,US
Orlando Bell Park,2274 S. Thompson Dr.,Madison,WI,43.067382,-89.289449,Dane County,53716,US
Midtown Commons Park,1310 Waldorf Blvd.,Madison,WI,43.038047,-89.526315,Dane County,53719,US
Manchester Park,3238 Manchester Rd.,Madison,WI,43.01247,-89.492522,Dane County,53719,US
Blackhawk Park,741 Bear Claw Way,Madison,WI,43.07689,-89.548568,Dane County,53717,US
Waldorf Park,1736 Waldorf Blvd.,Madison,WI,43.033766,-89.526507,Dane County,53719,US
Westhaven Trails Park,3020 Cimarron Trl.,Madison,WI,43.019374,-89.510454,Dane County,53719,US
Sauk Heights Park,525 Bear Claw Way,Madison,WI,43.071802,-89.550883,Dane County,53562,US
North Star Park,502 N. Star Dr.,Madison,WI,43.091017,-89.27611,Dane County,53718,US
Sandstone Park,3937 Manchester Rd.,Madison,WI,43.006703,-89.495929,Dane County,53719,US
Richmond Hill Park,6117 Cottontail Trl.,Madison,WI,43.078641,-89.273591,Dane County,53718,US
Cardinal Glenn Park,426 Pine Lawn Parkway,Madison,WI,43.055627,-89.550994,Dane County,53593,US
Country Grove Park,7353 East Pass,Madison,WI,43.009357,-89.505981,Dane County,53719,US
Veterans Memorial Park,4601 Star Spangled Trl.,Madison,WI,43.032621,-89.292531,Dane County,53718,US
Flagstone Park,8325 Flagstone Dr.,Madison,WI,43.024031,-89.529476,Dane County,53719,US
Dominion Park,602 Wyalusing Dr.,Madison,WI,43.090081,-89.262067,Dane County,53718,US
Reston Heights Park,217 Summertown Dr.,Madison,WI,43.097642,-89.262109,Dane County,53718,US
Thousand Oaks Park,9725 Sunny Spring Dr,Madison,WI,42.918081,-89.74884,Dane County,53572,US
Eagle Trace Park,10321 White Fox Lane,Madison,WI,43.084278,-89.514188,Dane County,53717,US
Sugar Maple Park,252 Sugar Maple Lane,Madison,WI,43.05837,-89.563712,Dane County,53593,US
Kingswood Park,17 Kingswood Cir.,Madison,WI,43.03176,-89.549192,Dane County,53593,US
Village Park,6606 Village Park Dr.,Madison,WI,43.161872,-89.286528,Dane County,53718,US
Door Creek Park,7035 Littlemore Dr.,Madison,WI,43.098434,-89.253952,Dane County,53718,US